l2filename,cpomfilename,atl07filename,atl10filename,start _CS2,end_CS2,start_IS2,end_IS2,strong_beam
CS_LTA__SIR1SAR_FR_20210428T071406_20210428T072138_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210428T063618.elev,ATL07-01_20210428042555_05251101_006_02.h5,ATL10-01_20210428042555_05251101_006_02.h5,"2021, 04, 28, 07, 14, 42","2021, 04, 28, 07, 22, 11","2021, 04, 28, 04, 44, 40","2021, 04, 28, 04, 51, 47",R
CS_LTA__SIR1SAR_FR_20210429T144308_20210429T144646_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210429T144042.elev,ATL07-01_20210429115142_05451101_006_02.h5,ATL10-01_20210429115142_05451101_006_02.h5,"2021, 04, 29, 14, 43, 45","2021, 04, 29, 14, 47, 22","2021, 04, 29, 12, 13, 42","2021, 04, 29, 12, 17, 09",R
CS_LTA__SIR1SAR_FR_20210430T220903_20210430T221649_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20210430T215034.elev,ATL07-01_20210430191730_05651101_006_02.h5,ATL10-01_20210430191730_05651101_006_02.h5,"2021, 04, 30, 22, 10, 21","2021, 04, 30, 22, 15, 53","2021, 04, 30, 19, 40, 26","2021, 04, 30, 19, 45, 40",R
CS_OFFL_SIR1SAR_FR_20211007T161703_20211007T162245_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211007T154013.elev,ATL07-01_20211007134434_02311301_006_01.h5,ATL10-01_20211007134434_02311301_006_01.h5,"2021, 10, 07, 16, 17, 39","2021, 10, 07, 16, 21, 10","2021, 10, 07, 14, 06, 20","2021, 10, 07, 14, 09, 41",L
CS_OFFL_SIR1SAR_FR_20211015T124918_20211015T125813_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211015T123808.elev,ATL07-01_20211015101920_03511301_006_01.h5,ATL10-01_20211015101920_03511301_006_01.h5,"2021, 10, 15, 12, 50, 16","2021, 10, 15, 12, 54, 32","2021, 10, 15, 10, 39, 55","2021, 10, 15, 10, 43, 58",L
CS_OFFL_SIR1SAR_FR_20211022T015500_20211022T020151_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211022T011900.elev,ATL07-01_20211021232819_04511301_006_01.h5,ATL10-01_20211021232819_04511301_006_01.h5,"2021, 10, 22, 01, 56, 08","2021, 10, 22,  01, 59, 42","2021, 10, 21, 23, 46, 38","2021, 10, 21, 23, 50, 01",L
CS_OFFL_SIR1SAR_FR_20211101T132438_20211101T133228_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211101T130544.elev,ATL07-01_20211101105441_06111301_006_01.h5,ATL10-01_20211101105441_06111301_006_01.h5,"2021, 11, 01, 13, 26, 48","2021, 11, 01, 13, 31, 43","2021, 11, 01, 11, 18, 11","2021, 11, 01, 11, 22, 50",L
CS_OFFL_SIR1SAR_FR_20211106T190544_20211106T191426_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211106T190156.elev,ATL07-01_20211106163753_06911301_006_01.h5,ATL10-01_20211106163753_06911301_006_01.h5,"2021, 11, 06, 19, 09, 58","2021, 11, 06, 19, 13, 38","2021, 11, 06, 17, 01, 52","2021, 11, 06, 17, 05, 20",L
CS_OFFL_SIR1SAR_FR_20211108T023041_20211108T023458_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211108T021417.elev,ATL07-01_20211108000339_07111301_006_01.h5,ATL10-01_20211108000339_07111301_006_01.h5,"2021, 11, 08, 02, 31, 18","2021, 11, 08, 02, 35, 35","2021, 11, 08, 00, 23, 33","2021, 11, 08, 00, 27, 38",L
CS_OFFL_SIR1SAR_FR_20211113T081016_20211113T082010_E001_l2__ffsar_seaIce_retLib.nc,cry_NO_20211113T081016.elev,ATL07-01_20211113054657_07911301_006_01.h5,ATL10-01_20211113054657_07911301_006_01.h5,"2021, 11, 13, 08, 14, 35","2021, 11, 13, 08, 18, 15","2021, 11, 13, 06, 07, 27","2021, 11, 13, 06, 10, 55",L
